site,deployment,deployed_at,uuid,time.s,time.h,battery.V,ch4rf_raw,ch4rf_cal,ch4_raw,ch4_cal,user_note,user_value
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.010,2022-01-11 20:40:04.2C000000F80F00200044004080000000,281,4028,16928,3996,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.022,2022-01-11 20:40:04.2C000000F80F00200044004080000000,492,4012,16928,2519,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.033,2022-01-11 20:40:04.2C000000F80F00200044004080000000,512,4021,16928,2518,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.045,2022-01-11 20:40:04.2C000000F80F00200044004080000000,512,4036,16928,4045,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.057,2022-01-11 20:40:04.2C000000F80F00200044004080000000,508,4034,16928,2504,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.068,2022-01-11 20:40:04.2C000000F80F00200044004080000000,519,4038,16928,4042,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.157,2022-01-11 20:40:04.2C000000F80F00200044004080000000,515,4022,16928,4036,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.168,2022-01-11 20:40:04.2C000000F80F00200044004080000000,511,4032,16928,2604,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.180,2022-01-11 20:40:04.2C000000F80F00200044004080000000,512,4042,16928,2502,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.192,2022-01-11 20:40:04.2C000000F80F00200044004080000000,510,4043,16928,2510,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.209,2022-01-11 20:40:04.2C000000F80F00200044004080000000,516,4018,16928,2508,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.221,2022-01-11 20:40:04.2C000000F80F00200044004080000000,512,4025,16928,4018,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.277,2022-01-11 20:40:04.2C000000F80F00200044004080000000,510,4032,16928,4042,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.289,2022-01-11 20:40:04.2C000000F80F00200044004080000000,512,4034,16928,2494,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.300,2022-01-11 20:40:04.2C000000F80F00200044004080000000,509,4019,16928,2505,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.312,2022-01-11 20:40:04.2C000000F80F00200044004080000000,518,4014,16928,4043,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.324,2022-01-11 20:40:04.2C000000F80F00200044004080000000,510,4038,16928,2498,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.336,2022-01-11 20:40:04.2C000000F80F00200044004080000000,516,4034,16928,2498,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.372,2022-01-11 20:40:04.2C000000F80F00200044004080000000,507,4015,16928,4036,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.384,2022-01-11 20:40:04.2C000000F80F00200044004080000000,514,4029,16928,2518,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.401,2022-01-11 20:40:04.2C000000F80F00200044004080000000,513,4018,16928,2507,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.413,2022-01-11 20:40:04.2C000000F80F00200044004080000000,510,4028,16928,2529,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.425,2022-01-11 20:40:04.2C000000F80F00200044004080000000,512,4044,16928,2502,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.436,2022-01-11 20:40:04.2C000000F80F00200044004080000000,512,4044,16928,4040,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.492,2022-01-11 20:40:04.2C000000F80F00200044004080000000,509,4037,16928,4025,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.503,2022-01-11 20:40:04.2C000000F80F00200044004080000000,517,4038,16928,2494,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.515,2022-01-11 20:40:04.2C000000F80F00200044004080000000,512,4021,16928,4013,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.527,2022-01-11 20:40:04.2C000000F80F00200044004080000000,511,4041,16928,2496,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.539,2022-01-11 20:40:04.2C000000F80F00200044004080000000,517,4042,16928,2503,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.594,2022-01-11 20:40:04.2C000000F80F00200044004080000000,516,4021,16928,2508,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.612,2022-01-11 20:40:04.2C000000F80F00200044004080000000,510,4035,16928,2494,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.624,2022-01-11 20:40:04.2C000000F80F00200044004080000000,513,4022,16928,2522,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.635,2022-01-11 20:40:04.2C000000F80F00200044004080000000,507,4046,16928,2495,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.647,2022-01-11 20:40:04.2C000000F80F00200044004080000000,518,4020,16928,4033,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.659,2022-01-11 20:40:04.2C000000F80F00200044004080000000,514,4016,16928,2503,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.715,2022-01-11 20:40:04.2C000000F80F00200044004080000000,509,4025,16928,2515,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.726,2022-01-11 20:40:04.2C000000F80F00200044004080000000,513,4041,16928,2506,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.738,2022-01-11 20:40:04.2C000000F80F00200044004080000000,512,4018,16928,2521,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.750,2022-01-11 20:40:04.2C000000F80F00200044004080000000,508,4042,16928,2507,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.761,2022-01-11 20:40:04.2C000000F80F00200044004080000000,514,4020,16928,2520,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.779,2022-01-11 20:40:04.2C000000F80F00200044004080000000,512,4031,16928,2501,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.835,2022-01-11 20:40:04.2C000000F80F00200044004080000000,510,4040,16928,2495,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.847,2022-01-11 20:40:04.2C000000F80F00200044004080000000,515,4024,16928,2570,-38104,,
jar1,2C000000F80F00200044004080000000,1641933025,50FF6A068678545226181767,1641933604.858,2022-01-11 20:40:04.2C000000F80F00200044004080000000,506,4043,16928,2501,-38104,,
